Route ID,Route Name,Grade,Type,Pitches,Length (ft),Stars,Votes,Ticks,FA Info,Area Hierarchy,URL
126672698,Bomb It,V4 YDS,Boulder,1,15.0,1.0,1.0,0.0,Nick Murray,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Gallery Area Bo… > Main Boulderfield > TAKI 183 Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126672698/bomb-it
201342239,Certainly Uncertain,5.10+ YDS,Trad,1,110.0,2.0,1.0,0.0,"Jameson Fleck, Cole Schnacker, 10/8/2020","All Locations > Colorado > Colorado Springs > Old Stage Rd > Ambiguously Uncertain… > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201342239/certainly-uncertain
126362141,Peasants,V0 YDS,Boulder,1,10.0,1.3,3.0,5.0,"Matt Sellick, Kyle Schneider","All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Gallery Area Bo… > Diego Rivera Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126362141/peasants
126932538,Ladder to the Moon,5.9 YDS,Trad,1,30.0,2.5,2.0,1.0,Matt Sellick,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Georgia O'Keeffe Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126932538/ladder-to-the-moon
117518428,Flash Flood,5.7 YDS,Trad,1,80.0,2.5,2.0,3.0,"Cody Baxter, July 2019","All Locations > Colorado > Colorado Springs > Old Stage Rd > Hurricane Ridge > Hurricane Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/117518428/flash-flood
201129552,A Squire's Tale,5.10+ YDS,Sport,1,40.0,3.0,1.0,1.0,"Will Quillman and Kyle Okular, June 2025","All Locations > Colorado > Colorado Springs > Old Stage Rd > Citadel > Western Alcove > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201129552/a-squires-tale
106436523,French Quarter,5.10a YDS,Sport,1,60.0,2.3,15.0,34.0,"Bob Robertson/ John Fogg/ Don Allred, 9-24-05","All Locations > Colorado > Colorado Springs > Old Stage Rd > Hurricane Ridge > Gully Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106436523/french-quarter
106437661,Lost Dog,5.7 YDS,Sport,1,50.0,1.2,13.0,48.0,John and Reggie Slavens,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Hurricane Ridge > W Face of Hurricane Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106437661/lost-dog
201128837,Chiefin,5.9 YDS,Trad,1,50.0,2.0,2.0,3.0,"likely FA: JD Roach, 2018. First known free ascent: Kyle Okular and Sean Herlihy, 2025","All Locations > Colorado > Colorado Springs > Old Stage Rd > Citadel > E Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201128837/chiefin
201004207,Lamb to the Slaughter,5.9 YDS,Trad,1,70.0,2.0,2.0,3.0,"FKA: Kyle Okular and Dakota Millard, May 2025","All Locations > Colorado > Colorado Springs > Old Stage Rd > Cathedral Park > Monk > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201004207/lamb-to-the-slaughter
107690732,Eye of the Storm,5.10- YDS,Sport,1,70.0,2.5,6.0,21.0,"Gary Ballard, Mark Maddy, 2012","All Locations > Colorado > Colorado Springs > Old Stage Rd > Hurricane Ridge > W Face of Hurricane Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/107690732/eye-of-the-storm
126361072,Pop Shop 2,5.10a YDS,Trad,1,60.0,2.7,11.0,22.0,Matt Sellick,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Installation Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126361072/pop-shop-2
201130760,Indentured Servitude,5.10b YDS,Trad,1,50.0,3.0,1.0,1.0,FKA: Kyle Okular and Sean Herlihy,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Citadel > S Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201130760/indentured-servitude
200995684,So Punk Rock,5.10a YDS,Trad,1,40.0,3.0,2.0,3.0,"Kyle Okular and Phil Wortmann, October 2024","All Locations > Colorado > Colorado Springs > Old Stage Rd > School of Rock > Old School > 
                    Sort Routes
            ",https://www.mountainproject.com/route/200995684/so-punk-rock
201130008,Chivalry Isn't Dead,5.9 YDS,Trad,1,90.0,3.0,2.0,3.0,"FKA: Kyle Okular and Matt Sellick, 2025","All Locations > Colorado > Colorado Springs > Old Stage Rd > Citadel > S Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201130008/chivalry-isnt-dead
201131464,Kratom and Crumpets,5.7+ YDS,Trad,1,60.0,2.0,3.0,5.0,"FKA: Kyle Okular and Joe Kalis, June 2025","All Locations > Colorado > Colorado Springs > Old Stage Rd > Citadel > S Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201131464/kratom-and-crumpets
126361231,Water Problem,5.10b YDS,Sport,1,90.0,2.2,18.0,64.0,"Matt Sellick, Kirt Lawless, Sean Verfurth","All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Installation Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126361231/water-problem
126967366,Sugar Shack,5.10c YDS,Trad,1,30.0,2.0,1.0,0.0,"Matt Sellick, Jared Reene","All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Ernie Barnes Walls > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126967366/sugar-shack
201128949,Deep Fried Peasants,5.10- YDS,Trad,1,70.0,3.0,1.0,3.0,"potential FA: JD Roach. Likely FFA: Kyle Okular and Sean Herlihy, 2025","All Locations > Colorado > Colorado Springs > Old Stage Rd > Citadel > E Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201128949/deep-fried-peasants
201001108,Cathedrals of Our Own,5.10+ YDS,Trad,2,200.0,4.0,2.0,2.0,"Kyle Okular and Sam Byrne, May 2025 (full modern variation)","All Locations > Colorado > Colorado Springs > Old Stage Rd > Cathedral Park > Gothic Buttress > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201001108/cathedrals-of-our-own
200996426,Street Smarts,5.9 YDS,Trad,1,40.0,3.0,1.0,1.0,"Kyle Okular, Sam Byrne, and Ben, November 2024","All Locations > Colorado > Colorado Springs > Old Stage Rd > School of Rock > High School > 
                    Sort Routes
            ",https://www.mountainproject.com/route/200996426/street-smarts
200949258,Cheat Sheet,5.8 YDS,Trad,1,55.0,3.0,2.0,10.0,"Kyle Okular and Emily Buck, October 2024","All Locations > Colorado > Colorado Springs > Old Stage Rd > School of Rock > Principal's Office > 
                    Sort Routes
            ",https://www.mountainproject.com/route/200949258/cheat-sheet
201014545,Testify,5.10c YDS,Trad,1,60.0,3.0,1.0,1.0,"Kyle Okular and Will Quillman, April 2025","All Locations > Colorado > Colorado Springs > Old Stage Rd > Cathedral Park > Hermitage > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201014545/testify
201129811,Guillotine Crack,5.11- YDS,Trad,1,50.0,3.0,2.0,2.0,"FKA: Tom Barber and Kyle Okular, 2025","All Locations > Colorado > Colorado Springs > Old Stage Rd > Citadel > S Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201129811/guillotine-crack
106511391,Unknown on the Left,5.10+ YDS,Trad,1,75.0,3.0,2.0,1.0,unknown,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Saint Peter's Overlook > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106511391/unknown-on-the-left
126361685,Zip,5.9 YDS,Trad,1,60.0,2.0,3.0,15.0,Matt Sellick,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Jo Mora Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126361685/zip
126361024,Pop Shop 1,5.10b YDS,Trad,1,85.0,2.5,2.0,5.0,"Matt Sellick, Jared Reene","All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Installation Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126361024/pop-shop-1
126361811,Lou D Croaker,5.7 YDS,Trad,1,25.0,1.8,8.0,28.0,Matt Sellick,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Jo Mora Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126361811/lou-d-croaker
200931261,The Boys are Back in Town,5.7 YDS,Trad,1,75.0,2.0,1.0,10.0,"Kyle Okular and Emily Buck, October 2024","All Locations > Colorado > Colorado Springs > Old Stage Rd > School of Rock > Halcyon Days > 
                    Sort Routes
            ",https://www.mountainproject.com/route/200931261/the-boys-are-back-in-town
201015029,"O Brother, Where Art Thou",5.8 YDS,Trad,2,110.0,3.0,1.0,,"Kyle Okular and Emily Buck, April 2025","All Locations > Colorado > Colorado Springs > Old Stage Rd > Cathedral Park > Slabernacle > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201015029/o-brother-where-art-thou
201004439,The Pilgrimage,5.9+ YDS,Trad,4,400.0,4.0,4.0,5.0,"FKA: Kyle Okular, Sam Jones, Dakota Millard, and Todd Stephens, March 2025","All Locations > Colorado > Colorado Springs > Old Stage Rd > Cathedral Park > Monastery > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201004439/the-pilgrimage
106437585,Unknown,5.9 YDS,Sport,1,60.0,1.6,7.0,23.0,unknown,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Hurricane Ridge > Gully Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106437585/unknown
106437617,Global Warming,5.10a YDS,Sport,1,70.0,2.2,13.0,31.0,"Don Allred/ Bob Robertson, 10-1-05","All Locations > Colorado > Colorado Springs > Old Stage Rd > Hurricane Ridge > Hurricane Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106437617/global-warming
200907898,Fuel-Injected Suicide Machine,5.10a YDS,Trad,1,70.0,2.5,2.0,3.0,"Kyle Okular and Emily Buck, May 2025","All Locations > Colorado > Colorado Springs > Old Stage Rd > Rd Warrior Crag > 
                    Sort Routes
            ",https://www.mountainproject.com/route/200907898/fuel-injected-suicide-machine
126672589,Pez Dispenser,V3 YDS,Boulder,1,10.0,2.5,2.0,1.0,Nick Murray,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Gallery Area Bo… > Main Boulderfield > Basquiat Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126672589/pez-dispenser
201131394,Get Medieval,5.10 YDS,Trad,1,60.0,3.0,3.0,8.0,"Kyle Okular and crew, June 2025.","All Locations > Colorado > Colorado Springs > Old Stage Rd > Citadel > S Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201131394/get-medieval
122773434,Short Stack Cracks,5.10 YDS,Trad,1,30.0,3.0,2.0,2.0,Stewart M. Green and Brian Shelton,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Grayback Peak > Short Stack Crack Area > 
                    Sort Routes
            ",https://www.mountainproject.com/route/122773434/short-stack-cracks
200908005,The Hummungus (Open Project),5.12- YDS,Trad,1,70.0,2.0,1.0,0.0,unknown,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Rd Warrior Crag > 
                    Sort Routes
            ",https://www.mountainproject.com/route/200908005/the-hummungus-open-project
201150213,Smash Toads,5.11 YDS,Sport,2,150.0,2.7,3.0,1.0,"Jonathan Matthews, Bryce Ball, 08/2025","All Locations > Colorado > Colorado Springs > Old Stage Rd > Grayback Peak > Battletoads Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201150213/smash-toads
201004180,Monk-y Business,5.9 YDS,Trad,1,70.0,1.0,2.0,2.0,"FKA: Kyle Okular and Dakota Millard, May 2025","All Locations > Colorado > Colorado Springs > Old Stage Rd > Cathedral Park > Monk > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201004180/monk-y-business
201128894,Full Chainmail Deal,5.11+ YDS,Trad,1,70.0,2.0,1.0,0.0,unknown,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Citadel > E Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201128894/full-chainmail-deal
127192600,Thiefdom,5.12+ YDS,Sport,1,35.0,3.0,3.0,2.0,"Cooper Childress, developed and bolted by Matt Sellick","All Locations > Colorado > Colorado Springs > Old Stage Rd > Den of Thieves > 
                    Sort Routes
            ",https://www.mountainproject.com/route/127192600/thiefdom
200908052,Witness Me (open project),5.12 YDS,Trad,1,70.0,2.0,1.0,1.0,unknown,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Rd Warrior Crag > 
                    Sort Routes
            ",https://www.mountainproject.com/route/200908052/witness-me-open-project
201006222,Personal Jesus,5.7+ YDS,Trad,2,150.0,2.0,1.0,2.0,"FKA: Kyle Okular and Will Quillman, April 2025","All Locations > Colorado > Colorado Springs > Old Stage Rd > Cathedral Park > Chapel > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201006222/personal-jesus
127037103,Cletus' Arete aka the North Ridge of San Luis Peak,5.8 YDS,Trad,4,550.0,2.8,8.0,18.0,"Kyle Okular and Matt Sellick, October 2024","All Locations > Colorado > Colorado Springs > Old Stage Rd > San Luis Peak > 
                    Sort Routes
            ",https://www.mountainproject.com/route/127037103/cletus-arete-aka-the-north-ridge-of-san-luis-peak
126967487,"Uptown, Downtown",5.4 YDS,Sport,1,50.0,2.3,6.0,,Matt Sellick,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Ernie Barnes Walls > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126967487/uptown-downtown
126967547,The Maestro,5.6 YDS,Sport,1,30.0,2.4,5.0,8.0,"Matt Sellick, Kyle Schneider","All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Ernie Barnes Walls > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126967547/the-maestro
201115936,Cletus Schools the Devil on the Road to Mt. Vigil - Link-up,5.10+ YDS,Trad,12,10000.0,3.0,1.0,0.0,unknown,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Show On The Rd Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201115936/cletus-schools-the-devil-on-the-road-to-mt-vigil-link-up
126361902,The Flower Carrier,V2 YDS,Boulder,1,18.0,2.7,3.0,1.0,Matt Sellick,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Gallery Area Bo… > Diego Rivera Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126361902/the-flower-carrier
122769881,Emerald Arete,5.7 YDS,Trad,1,135.0,1.0,1.0,1.0,"Sam Jones, rope solo","All Locations > Colorado > Colorado Springs > Old Stage Rd > Grayback Peak > Emerald Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/122769881/emerald-arete
117518382,Irma,5.6 YDS,Trad,1,70.0,2.0,3.0,11.0,"Cody Baxter, May 2019","All Locations > Colorado > Colorado Springs > Old Stage Rd > Hurricane Ridge > Hurricane Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/117518382/irma
106437611,Rita,5.10a YDS,Sport,1,70.0,2.3,17.0,48.0,Don Allred/ John Fogg,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Hurricane Ridge > Hurricane Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106437611/rita
200949155,Class Clown,5.8+ YDS,Trad,1,65.0,3.0,2.0,3.0,"Kyle Okular and Emily Buck, October 2024","All Locations > Colorado > Colorado Springs > Old Stage Rd > School of Rock > Principal's Office > 
                    Sort Routes
            ",https://www.mountainproject.com/route/200949155/class-clown
126700249,Summer Days,V3+ YDS,Boulder,1,12.0,2.0,1.0,1.0,Matt Sellick,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Gallery Area Bo… > Main Boulderfield > O'Keeffe Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126700249/summer-days
201014591,Confessions Part II,5.8 YDS,Trad,1,50.0,2.0,1.0,2.0,"Kyle Okular and Will Quillman, April 2025","All Locations > Colorado > Colorado Springs > Old Stage Rd > Cathedral Park > Hermitage > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201014591/confessions-part-ii
126932604,Pedernal,5.4 YDS,Trad,1,60.0,2.3,3.0,2.0,Matt Sellick,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Georgia O'Keeffe Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126932604/pedernal
126361633,Carmel By the Sea,5.10a YDS,Trad,1,60.0,3.1,15.0,36.0,Matt Sellick,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Jo Mora Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126361633/carmel-by-the-sea
126531697,Smooth Sailin',V3 YDS,Boulder,1,8.0,3.0,1.0,1.0,"Drew Hartfield, July 2024","All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Gallery Area Bo… > Main Boulderfield > Smooth Sailin' Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126531697/smooth-sailin
106193608,The Ascension,5.9 YDS,Trad,1,145.0,3.0,10.0,27.0,"Mark Van Horn, early 90s","All Locations > Colorado > Colorado Springs > Old Stage Rd > Saint Peter's Overlook > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106193608/the-ascension
126361663,Scratching A Twister,5.10c YDS,Sport,1,60.0,3.0,11.0,24.0,"Pete Lardy, Matt Sellick","All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Jo Mora Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126361663/scratching-a-twister
127261099,Ubu Imperator,V4 YDS,Boulder,1,12.0,2.0,1.0,0.0,Nick Murray,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Gallery Area Bo… > Main Boulderfield > Max Ernst Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/127261099/ubu-imperator
122768968,Inner Light,5.9 YDS,Sport,1,90.0,2.9,9.0,18.0,"Sam Jones, Nate Stockdale","All Locations > Colorado > Colorado Springs > Old Stage Rd > Grayback Peak > Grayback Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/122768968/inner-light
200965817,Show On The Road,5.10+ YDS,Trad,1,60.0,3.0,2.0,1.0,"Kyle Okular and Matt Sellick, May 2025","All Locations > Colorado > Colorado Springs > Old Stage Rd > Show On The Rd Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/200965817/show-on-the-road
200949364,Flunky,5.8 YDS,Trad,1,45.0,2.5,2.0,10.0,"Kyle Okular and Emily Buck, October 2024","All Locations > Colorado > Colorado Springs > Old Stage Rd > School of Rock > Principal's Office > 
                    Sort Routes
            ",https://www.mountainproject.com/route/200949364/flunky
200996357,High Class,5.11- YDS,Trad,1,30.0,2.7,3.0,3.0,unknown,"All Locations > Colorado > Colorado Springs > Old Stage Rd > School of Rock > High School > 
                    Sort Routes
            ",https://www.mountainproject.com/route/200996357/high-class
200996040,Rock Got No Reason,5.10 YDS,Trad,1,100.0,3.5,4.0,5.0,"Kyle Okular and Matt Sellick, October 2024","All Locations > Colorado > Colorado Springs > Old Stage Rd > School of Rock > Old School > 
                    Sort Routes
            ",https://www.mountainproject.com/route/200996040/rock-got-no-reason
201129443,King's Gambit,5.10- YDS,Trad,1,90.0,4.0,2.0,3.0,"FKA: Kyle Okular and Tom Barber, 2025","All Locations > Colorado > Colorado Springs > Old Stage Rd > Citadel > Western Alcove > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201129443/kings-gambit
108805757,Lightning Bolt Cracks,5.9 YDS,Trad,1,60.0,2.9,7.0,7.0,Steve Cheyney/Stewart Green? Colorado Mountain Club?,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Devil's Slide > 
                    Sort Routes
            ",https://www.mountainproject.com/route/108805757/lightning-bolt-cracks
106437657,Broken Levy,5.8 YDS,Sport,1,60.0,1.5,10.0,29.0,"Reggie Slavens/ John Salvens, 10/1/05","All Locations > Colorado > Colorado Springs > Old Stage Rd > Hurricane Ridge > W Face of Hurricane Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106437657/broken-levy
127179706,Thick as Thieves,5.10c/d YDS,Trad,1,70.0,3.0,7.0,10.0,"Kyle Okular and Sam Byrne, June 2024","All Locations > Colorado > Colorado Springs > Old Stage Rd > Den of Thieves > 
                    Sort Routes
            ",https://www.mountainproject.com/route/127179706/thick-as-thieves
201675630,Voice in the Deep,5.12a YDS,Sport,1,50.0,4.0,1.0,0.0,Wilson McKay,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Hurricane Ridge > W Face of Hurricane Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201675630/voice-in-the-deep
126672676,TAKI,V6 YDS,Boulder,1,12.0,3.0,1.0,0.0,Nick Murray,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Gallery > Gallery Area Bo… > Main Boulderfield > TAKI 183 Boulder > 
                    Sort Routes
            ",https://www.mountainproject.com/route/126672676/taki
122769257,Lobotomobile,5.10- YDS,Trad,1,90.0,2.9,12.0,19.0,"Sam Jones, Kent Kleven","All Locations > Colorado > Colorado Springs > Old Stage Rd > Grayback Peak > Grayback Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/122769257/lobotomobile
201129858,Masada,5.10 YDS,Trad,1,75.0,3.5,2.0,2.0,"FKA: Kyle Okular and Matt Sellick, 2025","All Locations > Colorado > Colorado Springs > Old Stage Rd > Citadel > S Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201129858/masada
122769334,Atlatl,5.11c YDS,Sport,1,75.0,3.3,3.0,4.0,"Sam Jones, Cody Howling","All Locations > Colorado > Colorado Springs > Old Stage Rd > Grayback Peak > Obsidian Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/122769334/atlatl
106436541,Mother-in-law from New Orleans,5.10b YDS,Sport,1,60.0,2.1,10.0,42.0,Bob Robertson  / Harvey Miller,"All Locations > Colorado > Colorado Springs > Old Stage Rd > Hurricane Ridge > Gully Wall > 
                    Sort Routes
            ",https://www.mountainproject.com/route/106436541/mother-in-law-from-new-orleans
0,Sign Up or Log In,,,1,,,,,,,https://www.mountainproject.com/edit/route/0?parentId=126441925
201003895,Vow of Silence,5.8 YDS,Trad,3,175.0,3.0,2.0,5.0,"FKA: Kyle Okular and Dakota Millard, 2025. It was almost certainly climbed earlier","All Locations > Colorado > Colorado Springs > Old Stage Rd > Cathedral Park > Monk > 
                    Sort Routes
            ",https://www.mountainproject.com/route/201003895/vow-of-silence
